Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count
1,1,2002,3.2,3,2,215104,2,4
8,7,2012,4.4,1,1,94413,3,4
0,3,2005,1.8,2,2,166364,2,3
1,1,2014,3.7,2,2,267929,4,1
9,27,2017,3.1,1,0,160266,5,1
2,12,2016,4.9,0,2,226208,5,3
9,17,2005,1.6,2,0,92903,3,1
2,18,2010,2.7,2,0,892,2,3
9,21,2021,5.0,3,1,183606,4,1
9,27,2011,1.4,3,2,712,5,2
2,12,2005,2.5,1,1,296474,3,2
6,26,2010,4.3,1,0,86587,2,1
6,24,2016,4.5,0,2,186516,5,3
8,9,2003,2.7,0,1,297911,3,2
6,24,2006,1.4,3,2,227710,5,3
7,5,2008,1.9,1,1,13436,4,1
4,6,2007,3.8,1,0,160230,4,2
0,2,2019,2.7,1,1,102946,5,4
3,14,2021,4.7,3,1,182833,4,4
5,11,2016,4.3,1,1,123202,4,1
1,0,2010,3.2,2,2,154894,3,5
7,5,2009,2.7,0,1,190357,4,5
4,8,2007,1.6,1,2,84889,4,3
2,18,2004,3.2,3,1,74305,3,5
9,17,2021,2.5,1,0,151011,4,2
7,16,2017,4.2,0,2,112955,5,1
9,17,2010,3.8,1,1,102003,5,5
3,13,2000,1.4,1,2,298968,5,1
9,17,2000,3.4,1,2,268243,2,4
9,27,2006,4.2,0,0,72222,2,2
4,6,2001,4.0,2,0,35704,5,3
3,14,2016,2.8,2,1,224812,2,4
3,15,2012,3.4,3,1,94189,5,2
8,7,2003,1.1,1,1,120067,5,1
0,3,2015,4.6,1,0,75917,3,5
4,6,2019,4.9,2,1,265884,2,1
6,20,2016,1.4,0,0,216284,3,2
9,27,2015,4.2,3,1,71375,2,3
9,27,2020,1.7,3,0,195565,2,5
3,14,2007,5.0,0,1,251657,2,1
6,26,2021,2.4,1,2,77443,2,5
7,16,2010,3.4,1,0,212166,2,2
2,18,2011,1.1,2,2,108748,5,2
4,4,2022,4.4,0,1,181785,2,3
0,3,2010,1.9,2,1,122590,2,3
7,10,2022,4.0,3,2,159928,2,3
9,21,2017,2.4,2,0,137364,5,2
9,27,2018,4.8,1,2,176896,3,3
5,11,2021,4.4,2,0,139803,3,4
5,28,2009,2.4,0,2,133857,4,2
4,6,2012,3.6,1,1,160829,3,5
8,7,2022,4.0,3,0,66018,4,5
8,23,2017,2.5,0,2,144055,2,5
8,7,2013,1.7,3,2,256396,4,5
5,28,2010,2.6,1,1,51964,2,3
1,0,2016,1.6,1,2,19827,5,2
5,11,2015,2.6,1,1,17615,2,4
4,4,2000,2.2,2,1,174062,2,5
3,14,2015,3.3,1,2,160346,2,5
9,21,2015,1.8,2,1,95211,4,3
2,19,2018,2.8,1,1,147851,4,2
3,13,2020,2.0,1,2,64810,5,2
6,24,2008,4.3,0,0,59374,4,3
2,19,2012,3.6,2,0,130041,5,4
8,23,2001,3.0,2,1,5677,4,2
3,15,2020,2.8,1,1,84377,2,1
4,6,2018,1.3,1,0,172589,3,5
2,19,2016,3.1,2,0,52589,5,2
9,27,2004,4.0,1,1,187692,2,3
8,23,2013,1.6,1,0,112579,5,1
2,12,2017,2.1,2,0,48595,5,5
3,15,2022,2.8,1,1,193179,4,5
5,28,2021,3.3,1,1,14806,3,4
9,17,2012,3.2,2,0,63251,4,2
8,7,2019,3.0,0,0,15814,2,2
6,26,2011,2.7,1,1,21260,4,5
2,19,2005,3.9,2,1,258964,2,3
3,14,2005,1.0,2,2,68819,2,3
4,4,2009,2.5,3,2,185382,4,1
0,3,2001,4.7,2,1,194851,2,5
0,3,2015,4.4,0,1,9382,2,3
4,4,2009,3.3,3,1,74667,5,5
2,18,2021,1.2,3,2,71340,3,4
9,17,2002,3.2,1,2,163937,3,1
4,4,2021,1.0,1,1,226314,5,5
5,11,2009,1.1,2,1,11510,2,1
1,1,2000,4.4,2,0,90949,3,5
4,6,2013,3.9,1,1,223151,5,4
2,12,2007,4.6,3,0,264351,3,1
4,4,2016,2.3,1,2,4516,4,1
2,19,2019,4.2,2,0,167792,5,4
7,16,2020,4.7,1,2,56519,5,4
6,20,2006,3.8,1,2,99812,3,1
2,12,2001,2.9,3,0,166415,4,3
9,27,2001,1.3,1,0,38154,2,5
3,15,2012,4.8,2,1,22948,3,2
1,29,2017,1.4,0,0,68227,3,5
3,14,2000,4.0,0,1,39659,3,5
9,17,2000,3.6,3,0,135280,3,5
3,14,2005,1.5,0,0,54274,5,4
9,21,2005,3.2,1,2,155550,5,4
6,20,2008,4.5,3,1,246080,5,1
0,3,2015,3.7,3,0,135789,2,2
1,0,2004,2.7,0,0,168782,5,4
2,18,2019,2.5,2,1,299406,3,1
2,12,2013,4.2,0,2,102212,4,5
4,6,2001,2.4,3,1,257319,3,1
5,28,2015,4.3,1,1,239633,3,5
5,28,2001,4.1,0,2,131476,4,3
8,7,2011,3.2,1,1,193292,3,3
4,8,2014,3.9,3,1,98449,5,4
5,11,2013,3.0,3,0,55558,4,1
0,2,2022,2.8,2,2,44239,2,5
5,11,2016,3.1,3,0,75358,5,3
7,16,2019,2.9,3,2,247451,3,3
3,14,2014,3.9,3,2,112331,2,5
4,6,2009,3.6,1,0,9934,4,2
7,5,2002,1.0,3,1,135119,5,4
2,12,2010,4.0,2,0,129931,4,5
3,14,2001,3.3,0,2,67635,3,5
3,15,2002,2.1,0,0,44278,5,5
0,3,2016,1.0,1,2,53839,2,1
1,29,2015,3.7,1,0,119160,4,3
3,13,2004,4.4,2,1,37216,3,1
8,23,2013,3.6,3,0,114121,2,1
5,28,2011,1.4,3,2,166927,3,5
5,25,2003,2.2,3,2,129833,2,3
6,24,2000,5.0,1,1,209293,4,4
4,4,2002,2.8,3,0,223989,3,4
5,11,2005,1.8,0,1,171240,5,4
3,14,2017,3.4,2,2,117752,5,1
7,10,2011,1.5,2,2,173761,3,5
8,23,2010,4.9,1,2,187042,5,1
3,14,2010,2.9,2,2,93513,5,3
6,24,2019,2.5,2,0,91607,4,4
5,28,2003,2.1,3,1,178043,2,2
7,5,2005,1.3,0,0,234518,3,3
0,22,2011,4.6,1,2,282280,3,3
4,6,2011,4.7,0,1,66344,4,3
7,16,2011,4.1,0,1,214542,2,5
6,26,2017,2.7,2,0,242456,2,5
5,25,2015,3.1,3,2,203562,4,3
4,4,2011,3.3,0,0,216830,3,5
5,11,2007,2.9,2,2,228537,2,4
4,8,2017,1.6,2,1,32531,5,4
7,10,2006,1.3,0,1,96152,3,4
2,12,2012,2.0,3,1,28091,4,3
9,21,2003,2.6,1,1,89008,5,3
7,10,2013,3.0,0,1,245000,5,5
7,16,2022,4.3,1,2,230697,5,3
7,10,2023,3.9,2,2,58107,3,2
4,8,2001,2.2,0,0,85799,2,1
9,21,2005,2.5,0,2,183684,5,1
8,9,2006,2.5,0,2,78706,2,3
8,23,2004,2.4,3,0,129753,3,5
1,0,2000,2.3,2,2,222441,2,3
5,25,2011,2.4,1,2,291467,3,1
4,8,2002,1.5,3,1,12478,3,3
5,25,2023,4.7,2,1,142982,5,3
4,4,2005,2.4,2,0,234690,4,3
2,18,2003,3.9,2,0,149269,3,2
0,22,2007,4.5,0,2,56348,5,5
5,25,2016,4.8,2,1,1064,2,1
6,20,2009,4.1,1,0,96287,5,4
2,19,2018,1.5,1,0,81520,3,5
3,14,2005,2.1,2,0,79897,5,3
1,1,2020,2.2,0,2,181518,4,2
5,25,2016,2.4,1,2,156430,2,2
1,29,2010,1.8,3,0,38947,4,4
6,20,2010,3.8,3,0,51040,5,2
5,28,2010,2.1,3,2,44690,3,4
0,3,2006,4.4,0,2,233491,4,1
8,9,2013,4.6,0,0,105259,3,4
8,9,2020,3.9,0,0,34167,3,4
5,25,2007,1.8,2,0,97552,3,4
8,23,2000,1.4,0,2,192625,3,5
1,1,2005,4.6,1,1,147137,5,4
3,14,2005,1.1,3,0,210763,5,5
3,15,2013,1.1,0,1,294516,4,1
9,27,2013,4.2,3,0,79579,5,3
1,1,2018,2.2,3,2,279897,2,5
2,19,2003,1.2,0,2,53980,4,3
2,19,2023,2.3,3,0,233943,2,5
2,19,2011,4.6,0,0,128078,4,2
7,5,2008,1.9,3,0,279604,4,4
6,24,2004,4.6,0,0,99579,2,1
7,16,2020,1.9,2,0,202766,4,4
8,7,2004,4.8,3,2,139871,2,4
3,15,2003,2.2,1,0,71321,3,1
2,12,2017,1.8,0,2,94503,4,3
3,14,2017,5.0,0,0,37949,4,4
9,17,2015,4.7,1,0,91544,3,1
9,21,2011,3.8,0,0,123345,4,5
2,19,2013,1.7,1,2,105823,2,1
8,9,2007,3.3,2,1,114799,3,2
0,3,2006,3.0,2,1,16540,2,1
7,16,2019,4.5,1,0,87606,5,1
4,6,2016,4.9,1,0,118813,4,1
2,12,2021,4.8,0,0,89746,3,4
6,26,2022,2.0,3,1,34636,5,4
2,12,2011,3.3,3,1,47252,4,2
4,6,2008,2.4,3,1,32723,4,2
3,14,2020,3.6,1,1,86259,3,4
7,10,2005,3.1,0,1,261026,3,1
1,29,2012,1.1,1,1,179817,4,2
1,0,2012,2.7,1,1,153829,4,4
3,14,2000,3.2,0,1,195410,4,1
2,19,2013,3.6,2,0,94086,2,5
6,24,2004,2.4,0,2,193641,3,5
8,23,2004,1.3,1,0,106431,5,3
0,2,2023,2.9,3,2,116400,3,4
7,10,2014,1.7,3,1,95579,3,3
8,23,2019,4.5,1,2,201176,5,1
8,23,2019,4.3,0,1,279294,3,1
6,24,2020,3.0,0,2,94308,2,5
1,1,2001,2.3,0,2,66264,2,1
0,3,2017,3.5,3,0,254631,3,3
3,15,2018,3.5,0,2,250184,5,5
2,12,2004,1.6,2,1,140604,4,4
3,13,2003,2.4,3,1,150463,4,3
5,11,2019,1.5,3,1,264951,4,1
4,8,2014,2.1,3,2,285867,4,2
6,26,2010,2.9,0,2,13906,5,1
2,12,2016,4.3,1,1,84801,4,1
0,22,2014,1.8,1,2,246787,2,1
5,28,2017,4.5,3,0,267485,3,1
6,20,2016,1.0,2,2,71812,5,4
5,28,2007,2.0,1,0,266591,5,2
0,22,2003,2.3,1,2,293605,4,5
1,1,2019,2.3,1,2,212627,2,1
5,28,2013,1.3,2,1,133708,4,3
4,4,2015,4.6,1,1,287534,4,2
3,13,2009,5.0,1,2,92371,3,5
7,5,2010,4.2,1,1,58152,4,1
5,28,2015,2.5,2,1,108890,5,4
7,10,2019,5.0,1,2,88654,2,4
3,15,2014,4.1,0,2,118008,2,4
9,21,2005,3.8,3,0,247689,3,5
6,20,2023,3.5,3,0,65179,5,3
5,11,2019,2.9,2,2,299472,5,4
8,9,2014,4.7,3,2,114382,5,3
2,12,2023,1.6,1,0,169514,5,2
2,12,2002,2.2,2,1,23277,4,2
0,22,2006,2.0,3,2,259783,5,4
6,24,2003,2.2,1,2,180863,5,3
5,28,2016,4.8,1,0,42962,2,2
9,27,2023,2.4,0,0,241576,4,3
4,8,2023,1.1,3,1,100661,3,3
0,3,2003,1.3,0,0,236210,5,3
4,6,2006,2.0,1,1,73969,4,3
9,27,2012,5.0,3,1,16715,2,2
8,9,2005,1.6,2,2,139937,4,3
2,19,2012,2.6,1,0,109087,3,5
7,10,2003,4.4,3,2,195519,3,5
0,22,2006,2.2,3,1,189950,3,4
5,28,2015,2.6,0,0,195860,5,2
0,2,2013,3.4,3,0,83637,4,5
2,12,2003,3.7,0,0,74560,5,3
8,9,2014,1.6,1,2,285729,2,5
2,18,2007,3.5,0,0,37419,5,4
9,17,2007,4.9,3,2,23679,3,3
9,17,2022,1.9,1,0,24515,2,5
1,1,2000,4.5,3,2,64082,2,3
2,19,2017,1.2,3,0,192701,3,4
3,15,2002,3.3,2,1,280773,5,5
7,10,2023,2.6,0,0,142580,2,4
2,12,2015,3.8,2,0,175806,5,2
9,21,2006,4.3,3,2,155084,2,5
2,12,2023,3.0,2,0,230795,5,4
1,0,2003,2.3,1,2,157815,4,3
8,23,2002,3.6,1,0,257390,5,5
2,19,2022,2.1,3,0,284512,3,5
6,26,2010,2.5,0,2,22296,4,3
